date;position;mesure;limite
01/01/2023 00:12;45.02161 -0.8042549999999999;36;80
01/01/2023 00:20;47.56511 -0.30385666666666666;83;90
01/01/2023 00:24;44.94831666666666 -0.90664;78;80
01/01/2023 00:27;44.93400166666667 -0.9489066666666666;64;80
01/01/2023 00:28;44.933905 -0.9503766666666666;74;80
01/01/2023 00:30;45.02729333333333 -0.8004066666666667;26;80
01/01/2023 00:30;44.920665 -0.9821000000000001;54;80
01/01/2023 00:34;44.899875 -0.9933683333333333;81;80
01/01/2023 00:36;44.98139333333334 -0.86562;68;80
01/01/2023 00:38;47.52691333333333 -0.010523333333333332;103;90
01/01/2023 00:47;47.49729166666667 0.10306;87;90
01/01/2023 00:58;44.814685 -0.9518133333333334;90;80
01/01/2023 01:00;46.57783333333333 1.844255;88;90
01/01/2023 01:05;46.59838 1.7802916666666668;94;70
01/01/2023 01:12;44.691048333333335 -0.85339;50;80
01/01/2023 01:13;44.605383333333336 -0.7667016666666666;45;80
01/01/2023 01:15;47.21306833333333 -0.7204200000000001;46;80
01/01/2023 01:18;46.46946333333333 1.7840616666666667;125;90
01/01/2023 01:20;47.248513333333335 -0.7302233333333333;85;80
01/01/2023 01:20;47.243633333333335 -0.7279166666666667;79;80
01/01/2023 01:21;47.339373333333334 -0.23122666666666666;27;80
01/01/2023 01:22;44.618525 -0.7815516666666666;79;80
01/01/2023 01:22;47.269133333333336 -0.7274966666666667;65;80
01/01/2023 01:24;44.532705 -0.6679033333333333;80;80
01/01/2023 01:24;47.30914 -0.24658333333333332;80;80
01/01/2023 01:25;44.60550333333333 -0.7668750000000001;46;80
01/01/2023 01:25;44.60556833333333 -0.766985;45;80
01/01/2023 01:28;47.27798666666666 -0.2595283333333333;77;80
01/01/2023 01:29;44.57816666666667 -0.7298033333333334;48;80
01/01/2023 01:29;47.33589166666667 -0.7488633333333333;71;80
01/01/2023 01:29;47.33934 -0.7530366666666667;86;80
01/01/2023 01:30;47.343745 -0.7587866666666667;66;70
01/01/2023 01:32;46.43539 1.8574866666666665;81;80
01/01/2023 01:32;47.35362666666666 -0.7621300000000001;42;80
